Customer_number,age,job,marital,education,Annual Income,Gender
1001,58,management,married,tertiary,839368,M
1002,44,technician,single,secondary,1452858,M
1003,33,entrepreneur,married,,4851383,F
1004,47,blue collar,married,unknown,3207754,F
1005,33,unknown,single,unknown,2562322,M
1006,35,management,married,ter tiary,3960603,M
1007,28,management,single,ter tiary,2383284,M
1008,42,entrepreneur,divorced,tertiary,,F
1009,58,retired,married,primary,1122246,F
1010,43,technician,single,secondary,1111232,M
1011,41,admin.,divorced,,3125843,F
1012,29,admin.,single,secondary,4721864,M
1013,53,technician,married,secondary,4735377,F
1014,58,technician,married,unknown,2824333,F
1015,57,services,married,secondary,,M
1016,51,retired,married,primary,1032353,F
1017,45,admin.,single,unknown,3715449,M
1018,57,blue-collar,married,primary,520774,F
1019,60,retired,married,primary,430248,F
1020,33,services,married,secondary,1530174,F
1021,28,blue-collar,married,secondary,984713,M
1022,56,management,married,tertiary,4950906,M
1023,32,blue-collar,single,primary,4132040,F
1024,25,services,married,secondary,,M
1025,40,retired,married,primary,3083826,M
1026,44,admin.,married,secondary,9458762,F
1027,39,management,single,tertiary,3402678,M
1028,52,entrepreneur,married,secondary,3333256,F
1029,46,management,single,secondary,9456591,F
1030,36,technician,single,secondary,1580345,M
1031,57,technician,married,secondary,2841686,M
1032,49,management,married,tertiary,1109590,M
1033,60,admin.,married,secondary,1658941,F
1034,59,blue-collar,married,secondary,669919,M
1035,51,management,married,tertiary,756060,F
1036,57,technician,divorced,,338933,M
1037,25,blue-collar,married,secondary,9456339,M
1038,53,technician,married,secondary,9455899,M
1039,36,admin.,divorced,secondary,4120770,F
1040,37,admin.,single,secondary,1772791,F
1041,44,services,divorced,secondary,4306051,M
1042,50,management,married,secondary,4587759,M
1043,60,blue collar,married,unknown,2686262,M
1044,54,retired,married,secondary,1821798,M
1045,58,retired,married,unknown,311788,F
1046,36,admin.,single,primary,9455698,M
1047,58,self-employed,married,tertiary,9455395,F
1048,44,technician,married,secondary,2815548,F
1049,55,technician,divorced,secondary,4810498,M
1050,29,management,single,tertiary,2336585,F
1051,54,blue-collar,married,secondary,1588055,M
1052,48,management,divorced,tertiary,9452458,M
1053,32,management,married,tertiary,3147711,M
1054,42,admin.,single,secondary,9452078,M
1055,24,technician,single,secondary,8940189,F
1056,38,entrepreneur,single,tertiary,1594257,M
1057,38,management,single,tertiary,3806355,M
1058,47,blue-collar,married,unknown,1172205,M
1059,40,blue collar,single,unknown,649595,F
1060,46,services,married,primary,2267997,M
1061,32,admin.,married,tertiary,734214,M
1062,53,technician,divorced,secondary,2524364,M
1063,57,blue-collar,married,primary,2117979,F
1064,33,services,married,secondary,3884662,F
1065,49,blue-collar,married,unknown,4884667,M
1066,51,management,married,tertiary,405932,F
1067,60,retired,married,tertiary,4249849,F
1068,59,management,divorced,tertiary,1160299,M
1069,55,technician,married,secondary,487958,F
1070,35,blue-collar,single,secondary,4708688,M
1071,57,blue-collar,married,secondary,3426031,M
1072,31,services,married,secondary,3697996,F
1073,54,management,married,secondary,902705,M
1074,55,blue-collar,married,primary,3114237,M
1075,43,technician,married,secondary,2661329,M
1076,53,technician,married,secondary,2062706,M
1077,44,blue-collar,married,secondary,3578861,M
1078,55,services,divorced,secondary,2497471,M
1079,49,services,divorced,secondary,4925497,M
1080,55,services,divorced,secondary,2661959,F
1081,45,admin.,single,secondary,3801900,M
1082,47,services,divorced,secondary,4752810,F
1083,42,technician,single,secondary,1350522,M
1084,59,admin.,,secondary,1368654,F
1085,46,self-employed,married,tertiary,1895636,M
1086,51,blue-collar,married,primary,4711400,M
1087,56,admin.,married,secondary,3604898,M
1088,41,technician,married,secondary,201417,F
1089,46,management,divorced,secondary,2941476,F
1090,57,retired,married,secondary,1329682,M
1091,42,management,single,secondary,4304701,F
1092,30,technician,married,secondary,2231325,M
1093,60,admin.,married,secondary,3165738,M
1094,60,blue-collar,married,unknown,3815103,M
1095,57,entrepreneur,divorced,secondary,8939107,F
1096,36,management,married,tertiary,3519095,F
1097,55,blue-collar,married,secondary,1354433,M
1098,60,retired,married,tertiary,4489810,M
1099,39,technician,married,secondary,1410290,M
1100,46,management,married,tertiary,1692724,F
1101,44,blue-collar,married,secondary,8937766,M
1102,53,blue-collar,married,Primary,1066385,F
1103,52,blue-collar,married,Primary,3773683,F
1104,59,blue-collar,married,Primary,3695031,M
1105,27,technician,single,tertiary,532605,F
1106,44,blue-collar,married,secondary,1292576,M
1107,47,technician,married,tertiary,3817854,M
1108,34,admin.,married,secondary,3138036,F
1109,59,retired,single,secondary,471841,M
1110,45,management,married,tertiary,3604103,M
1111,29,services,divorced,secondary,1243249,F
1112,46,technician,divorced,secondary,3592818,F
1113,56,self-employed,married,primary,8936692,M
1114,36,blue-collar,married,primary,644826,F
1115,59,retired,divorced,primary,3322345,F
1116,44,blue-collar,married,secondary,605348,F
1117,41,admin.,married,secondary,3956436,M
1118,33,management,single,tertiary,8936265,F
1119,59,management,divorced,tertiary,926367,F
1120,57,technician,married,primary,3784622,F
1121,56,technician,divorced,unknown,2992594,M
1122,51,blue-collar,married,secondary,3517790,M
1123,34,admin.,married,unknown,4232478,F
1124,43,services,married,secondary,806383,F
1125,52,technician,married,tertiary,2633024,F
1126,33,technician,single,secondary,2887765,F
1127,29,admin.,single,secondary,2362442,M
1128,34,services,married,secondary,8935683,F
1129,31,blue-collar,married,secondary,2719720,F
1130,55,services,married,secondary,4136180,M
1131,55,management,married,unknown,310304,F
1132,32,admin.,single,secondary,3465105,M
1133,38,technician,single,secondary,1628338,F
1134,55,admin.,single,secondary,394418,F
1135,28,unemployed,single,tertiary,3172790,F
1136,23,blue-collar,married,secondary,2197696,M
1137,32,technician,single,secondary,3245888,M
1138,43,services,single,unknown,2458125,M
1139,32,blue-collar,married,secondary,2934143,M
1140,46,blue-collar,married,secondary,4595132,M
1141,53,housemaid,divorced,primary,4371355,M
1142,34,self-employed,single,secondary,4065567,F
1143,57,unemployed,married,tertiary,4666021,F
1144,37,blue collar,married,secondary,1346120,M
1145,59,blue-collar,married,secondary,2957933,F
1146,33,services,married,secondary,212027,F
1147,56,blue-collar,divorced,primary,4224101,F
1148,48,unemployed,married,secondary,2806567,F
1149,43,services,married,primary,1416252,F
1150,54,blue-collar,married,primary,4845272,F
1151,51,blue-collar,married,unknown,8643368,M
1152,26,student,single,secondary,3921379,F
1153,40,management,married,tertiary,8641142,F
1154,39,management,married,secondary,4180300,M
1155,50,technician,married,primary,350803,F
1156,41,services,married,secondary,2596935,F
1157,51,blue-collar,married,unknown,3735582,M
1158,60,retired,divorced,secondary,734013,M
1159,52,blue collar,married,secondary,475900,M
1160,48,blue-collar,married,secondary,2429704,M
1161,48,services,married,unknown,4372029,F
1162,39,technician,single,tertiary,3986600,F
1163,47,services,single,secondary,1343086,M
1164,40,blue-collar,married,secondary,709422,F
1165,45,technician,married,secondary,4611496,M
1166,26,admin.,single,secondary,3161769,M
1167,52,management,married,tertiary,1015156,M
1168,54,technician,married,secondary,3547388,F
1169,54,admin.,married,tertiary,1382727,M
1170,50,blue-collar,married,primary,2903234,F
1171,35,blue-collar,married,secondary,3012173,M
1172,44,services,married,secondary,2106395,M
1173,53,entrepreneur,married,unknown,4998118,F
1174,35,retired,single,primary,3873773,M
1175,60,admin.,divorced,secondary,492069,F
1176,53,admin.,divorced,secondary,575892,F
1177,48,unemployed,married,secondary,1123572,M
1178,34,technician,married,secondary,3376547,F
1179,54,services,married,secondary,1636007,M
1180,51,management,married,secondary,368600,M
1181,31,services,married,tertiary,1472411,M
1182,35,technician,divorced,secondary,3779025,M
1183,35,services,married,secondary,256461,M
1184,38,technician,married,secondary,1472997,M
1185,36,admin.,married,tertiary,4811842,M
1186,58,retired,married,primary,1351108,F
1187,40,services,divorced,unknown,3862903,M
1188,54,management,married,secondary,3544726,M
1189,34,blue-collar,single,secondary,4033916,F
1190,31,management,single,tertiary,3618892,M
1191,51,retired,married,secondary,2035651,F
1192,33,management,married,tertiary,710460,F
1193,55,management,married,tertiary,2314890,M
1194,42,admin.,married,secondary,2402896,F
1195,34,blue-collar,married,secondary,642228,M
1196,33,blue-collar,single,secondary,4153811,F
1197,38,services,married,secondary,4475658,F
1198,50,technician,divorced,tertiary,4290423,M
1199,43,management,married,tertiary,3444604,M
1200,61,blue-collar,divorced,primary,727804,M
1201,47,admin.,married,secondary,1751709,M
1202,48,self-employed,married,tertiary,1890241,F
1203,44,blue-collar,married,secondary,2228918,M
1204,35,student,single,unknown,3892805,F
1205,35,services,married,secondary,820735,M
1206,50,services,married,secondary,1646207,F
1207,41,management,married,tertiary,2825252,F
1208,41,management,married,tertiary,3482885,F
1209,39,services,single,unknown,1867485,M
1210,42,retired,married,secondary,4886124,M
1211,38,blue-collar,married,secondary,8641090,F
1212,53,retired,married,secondary,590492,M
1213,59,housemaid,divorced,primary,4668765,M
1214,36,services,married,secondary,2774088,F
1215,54,blue-collar,married,primary,6906530,M
1216,40,technician,married,tertiary,3508020,F
1217,47,unknown,married,unknown,4301012,F
1218,53,unemployed,married,unknown,1321699,M
1219,46,housemaid,married,primary,2527997,M
1220,39,management,married,tertiary,843805,M
1221,40,unemployed,married,secondary,784900,M
1222,28,blue-collar,married,primary,2485547,M
1223,35,entrepreneur,divorced,secondary,6906322,M
1224,55,retired,married,secondary,2541809,F
1225,43,technician,divorced,unknown,4709179,M
1226,48,blue-collar,married,primary,3263712,M
1227,58,management,married,unknown,2093511,F
1228,33,management,single,tertiary,4791962,M
1229,36,blue-collar,married,unknown,2726432,F
1230,53,services,divorced,secondary,4030488,M
1231,47,blue-collar,married,primary,5916354,M
1232,31,services,married,secondary,1319456,M
1233,57,entrepreneur,married,secondary,2641093,M
1234,53,blue-collar,married,unknown,2297055,M
1235,55,blue-collar,married,primary,3241739,M
1236,45,blue-collar,married,primary,2439500,M
1237,53,admin.,divorced,secondary,3340322,F
1238,37,blue-collar,married,primary,4474885,M
1239,44,admin.,divorced,secondary,4186520,F
1240,49,blue-collar,divorced,primary,5916021,M
1241,46,technician,married,secondary,1142866,F
1242,43,entrepreneur,married,unknown,572262,M
1243,38,admin.,married,secondary,1768474,F
1244,43,technician,married,secondary,4257021,F
1245,49,management,married,tertiary,3365368,F
1246,42,management,married,unknown,2376019,M
1247,22,blue-collar,single,secondary,436173,F
1248,40,management,married,tertiary,2440438,M
1249,39,blue-collar,married,secondary,2609659,M
1250,51,services,married,secondary,992903,F
1251,49,admin.,married,secondary,1364717,M
1252,53,blue-collar,married,secondary,4998240,M
1253,34,services,single,secondary,4450185,F
1254,33,technician,divorced,secondary,1972857,M
1255,50,management,single,tertiary,4267265,F
1256,39,blue-collar,married,primary,3522286,F
1257,59,entrepreneur,divorced,secondary,3973103,F
1258,30,technician,single,secondary,825717,M
1259,36,services,married,secondary,1645363,F
1260,40,blue-collar,married,secondary,438884,M
1261,53,blue-collar,married,secondary,3140106,F
1262,34,management,single,tertiary,4446542,F
1263,37,technician,married,secondary,4507200,F
1264,42,management,divorced,tertiary,4097614,M
1265,41,entrepreneur,married,primary,2419870,M
1266,30,student,single,tertiary,2752057,F
1267,37,management,single,tertiary,876730,F
1268,39,admin.,divorced,secondary,5915099,M
1269,41,blue-collar,married,primary,563221,F
1270,40,blue-collar,married,primary,3326870,M
1271,42,management,single,tertiary,2156278,F
1272,40,blue-collar,divorced,primary,1762030,M
1273,57,technician,married,secondary,3276653,M
1274,56,entrepreneur,divorced,secondary,1326311,M
1275,37,admin.,married,secondary,3234694,F
1276,59,retired,married,secondary,4701060,F
1277,39,services,divorced,secondary,5913636,F
1278,49,services,married,secondary,1443852,M
1279,38,services,single,secondary,4752416,M
1280,36,self-employed,married,tertiary,1357671,M
