Sno,Customer_number,Insurance,balance,housing,loan,contact,duration,campaign,last_contact_day,previous,poutcome,Term Deposit,Count_Txn,,,,,
0,1001,no,2143,yes,no,,261,1,2,0,unknown,no,351,,,,,
1,1002,no,29,yes,no,unknown,151,1,2,0,unknown,no,326,,,,,
2,1003,no,2,yes,yes,unknown,76,1,2,0,,no,422,,,,,
3,1004,no,1506,yes,no,unknown,92,1,2,0,unknown,no,113,,,,,
4,1005,no,1,no,no,unknown,198,1,2,0,unknown,no,342,,,,,
5,1006,no,231,yes,no,unknown,139,1,2,0,unknown,no,490,,,,,
6,1007,no,447,yes,yes,unknown,217,1,2,0,unknown,no,411,,,,,
7,1008,yes,2,yes,no,,380,1,2,0,pending,no,108,,,,,
8,1009,no,121,yes,no,unknown,50,1,2,0,pending,no,328,,,,,
9,1010,no,593,yes,no,unknown,55,1,2,0,pending,no,124,,,,,
10,1011,no,270,yes,no,unknown,222,1,2,0,pending,no,326,,,,,
11,1012,no,390,yes,no,unknown,137,1,3,0,pending,no,470,,,,,
12,1013,no,6,yes,no,unknown,517,1,3,0,pending,no,273,,,,,
13,1014,no,71,yes,no,unknown,71,1,3,0,pending,no,277,,,,,
14,1015,no,162,yes,no,unknown,174,1,3,0,pending,no,186,,,,,
15,1016,no,229,yes,no,,353,1,3,0,,no,-152,,,,,
16,1017,no,13,yes,no,unknown,98,1,3,0,pending,no,370,,,,,
17,1018,no,52,yes,no,unknown,38,1,3,0,pending,no,-270,,,,,
18,1019,no,60,yes,no,unknown,219,1,3,0,pending,no,0,,,,,
19,1020,no,0,yes,no,unknown,54,1,3,0,pending,no,482,,,,,
20,1021,no,723,yes,yes,unknown,262,1,3,0,pending,no,295,,,,,
21,1022,no,779,yes,no,unknown,164,1,3,0,pending,no,447,,,,,
22,1023,no,23,yes,yes,unknown,160,1,3,0,pending,no,-423,,,,,
23,1024,no,50,yes,no,,342,1,3,0,pending,no,426,,,,,
24,1025,no,0,yes,yes,unknown,181,1,3,0,pending,no,383,,,,,
25,1026,no,372,yes,no,unknown,172,1,3,0,pending,no,144,,,,,
26,1027,no,255,yes,no,unknown,296,1,3,0,pending,no,261,,,,,
27,1028,no,113,yes,yes,unknown,127,1,3,0,pending,no,421,,,,,
28,1029,no,246,yes,no,unknown,255,2,3,0,pending,no,389,,,,,
29,1030,no,265,yes,yes,unknown,348,1,3,0,pending,no,294,,,,,
